age,gender,category,amount,fraud,age_clean,customer_id,merchant_id,subscription_id,step,is_microcharge,fraud_prob,log_amount,is_micro,amount_bin
U,E,es_food,36.53,0,-1,AGE_-1_G_E,es_food,AGE_-1_G_E_es_food,18,0,0.006248191598876264,3.6251406131469297,0,3
U,E,es_hotelservices,236.1473999999996,0,-1,AGE_-1_G_E,es_hotelservices,AGE_-1_G_E_es_hotelservices,36,0,0.5577510461891229,5.468681888738294,0,4
U,E,es_transportation,1.0998,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,84,1,0.006247937965318813,0.7418421020987039,1,1
U,E,es_transportation,37.11,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,84,0,0.006247281584593982,3.640476714885769,0,3
U,E,es_transportation,6.35,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,89,0,0.006247937965318813,1.9947003132247452,0,2
U,E,es_transportation,1.0998,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,90,1,0.006247937965318813,0.7418421020987039,1,1
U,E,es_transportation,25.66,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,109,0,0.006247297425636918,3.2831643147505627,0,3
U,E,es_transportation,16.62,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,120,0,0.00624741819004646,2.8690346205080335,0,2
U,E,es_transportation,19.96,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,123,0,0.006247757672020599,3.0426158594528414,0,2
U,E,es_transportation,18.59,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,174,0,0.00624741819004646,2.9750192319564492,0,2
U,E,es_transportation,31.12,0,-1,AGE_-1_G_E,es_transportation,AGE_-1_G_E_es_transportation,180,0,0.006247410043459862,3.469478889078561,0,3
0,F,es_food,33.14,0,0,AGE_0_G_F,es_food,AGE_0_G_F_es_food,147,0,0.0062484920765330165,3.5304697173662944,0,3
0,F,es_food,3.48,0,0,AGE_0_G_F,es_food,AGE_0_G_F_es_food,155,1,0.006257034816678473,1.4996230464268938,1,1
